ID,Example_ID,Wordform_ID,Index,Form_Meaning,Parameter_ID
se-pn026-kurupelsuwede2017e-1-0,se-pn026-kurupelsuwede2017e-1,5fddd06e-b4f1-447f-9204-ea825d139931,0,,null
se-pn026-kurupelsuwede2017e-2-0,se-pn026-kurupelsuwede2017e-2,d277a2b5-d8cc-407f-9ca7-d25c7513209e,0,story,story
se-pn026-kurupelsuwede2017e-2-1,se-pn026-kurupelsuwede2017e-2,fa1a7ce6-7608-43bc-8889-8cc978490658,1,NOM,nom
se-pn026-kurupelsuwede2017e-2-2,se-pn026-kurupelsuwede2017e-2,caec8a38-7496-429d-8107-e3810b3e741b,2,INFdo,infdo
se-pn026-kurupelsuwede2017e-2-3,se-pn026-kurupelsuwede2017e-2,87be80fd-f335-4347-afa7-055cd479706f,3,ABL==NOM,abl-nom
se-pn026-kurupelsuwede2017e-2-4,se-pn026-kurupelsuwede2017e-2,att-abl,4,=ABL,abl
se-pn026-kurupelsuwede2017e-2-5,se-pn026-kurupelsuwede2017e-2,a-nom,5,=NOM,nom
se-pn026-kurupelsuwede2017e-2-6,se-pn026-kurupelsuwede2017e-2,c72844c0-37b5-415f-88c8-4ad4aa4e95ea,6,here,here
se-pn026-kurupelsuwede2017e-2-7,se-pn026-kurupelsuwede2017e-2,n-cop-prs-sg,7,=COP.PRS.SG,cop-prs-sg
se-pn026-kurupelsuwede2017e-2-8,se-pn026-kurupelsuwede2017e-2,94477476-ba06-4c09-8b73-703aa2db70db,8,old_man,old-man
se-pn026-kurupelsuwede2017e-2-9,se-pn026-kurupelsuwede2017e-2,bc71c7ea-2d49-43e8-ae1b-c97634d6141e,9,male_personal_name,male-personal-name
se-pn026-kurupelsuwede2017e-2-10,se-pn026-kurupelsuwede2017e-2,ee0a315b-3467-43ba-b5b4-6ee2dd65dfd4,10,3SG.ABL.POSS,3sg-abl-poss
se-pn026-kurupelsuwede2017e-3-0,se-pn026-kurupelsuwede2017e-3,a23fe320-02fa-435f-a64e-ddf3c0fbbf3e,0,year,year
se-pn026-kurupelsuwede2017e-3-1,se-pn026-kurupelsuwede2017e-3,80290323-ab05-42e8-abae-1b909638aad8,1,NOM,nom
se-pn026-kurupelsuwede2017e-3-2,se-pn026-kurupelsuwede2017e-3,01bd9497-43d4-481e-a3b8-bac1cc3cc6d5,2,loanword,loanword
se-pn026-kurupelsuwede2017e-3-3,se-pn026-kurupelsuwede2017e-3,24578e4b-9378-4023-bb30-5ecc4f7c4c5d,3,loanword,loanword
se-pn026-kurupelsuwede2017e-3-4,se-pn026-kurupelsuwede2017e-3,01744412-fc75-4dc2-82a0-cb1720ee3a49,4,that,that
se-pn026-kurupelsuwede2017e-3-5,se-pn026-kurupelsuwede2017e-3,4b17546a-3177-4ab2-b031-2ef726d56c50,5,spot,spot
se-pn026-kurupelsuwede2017e-3-6,se-pn026-kurupelsuwede2017e-3,51fc298e-458b-4951-8d5e-4c5bb357f384,6,LOC,loc
se-pn026-kurupelsuwede2017e-3-7,se-pn026-kurupelsuwede2017e-3,0c355c58-79a6-42f1-8041-eb2ac4817959,7,a,a
se-pn026-kurupelsuwede2017e-3-8,se-pn026-kurupelsuwede2017e-3,bf2e5f0a-c963-4467-a2bc-3b76a101978c,8,man,man
se-pn026-kurupelsuwede2017e-3-9,se-pn026-kurupelsuwede2017e-3,80290323-ab05-42e8-abae-1b909638aad8,9,NOM,nom
se-pn026-kurupelsuwede2017e-3-10,se-pn026-kurupelsuwede2017e-3,90616d2c-4a35-439b-9760-ca1a4e9c9dc7,10,die,die
se-pn026-kurupelsuwede2017e-3-11,se-pn026-kurupelsuwede2017e-3,2bc4866b-71ee-477e-a924-dbc5d4c61ca4,11,REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A,rem-intr-rt-ext-intr-aux-nprs-rem-fut-3sg-s-a
se-pn026-kurupelsuwede2017e-3-12,se-pn026-kurupelsuwede2017e-3,547a8cba-e693-4b34-a59d-c543a08738d2,12,toponym,toponym
se-pn026-kurupelsuwede2017e-3-13,se-pn026-kurupelsuwede2017e-3,d2d3a4fe-a106-4269-bc18-c8af7a95d082,13,village,village
se-pn026-kurupelsuwede2017e-3-14,se-pn026-kurupelsuwede2017e-3,51fc298e-458b-4951-8d5e-4c5bb357f384,14,LOC,loc
se-pn026-kurupelsuwede2017e-4-0,se-pn026-kurupelsuwede2017e-4,72d73d0b-76b5-40a7-ad56-456d0a006567,0,3SG.POSS,3sg-poss
se-pn026-kurupelsuwede2017e-4-1,se-pn026-kurupelsuwede2017e-4,f9267b96-0e61-4ec1-acae-ad89b83f89a5,1,name,name
se-pn026-kurupelsuwede2017e-4-2,se-pn026-kurupelsuwede2017e-4,fa1a7ce6-7608-43bc-8889-8cc978490658,2,NOM,nom
se-pn026-kurupelsuwede2017e-4-3,se-pn026-kurupelsuwede2017e-4,6dfa8218-b7db-4c03-af5c-2737d9b0c414,3,male_personal_name,male-personal-name
se-pn026-kurupelsuwede2017e-5-1-0,se-pn026-kurupelsuwede2017e-5-1,6dfa8218-b7db-4c03-af5c-2737d9b0c414,0,male_personal_name,male-personal-name
se-pn026-kurupelsuwede2017e-5-1-1,se-pn026-kurupelsuwede2017e-5-1,72d73d0b-76b5-40a7-ad56-456d0a006567,1,3SG.POSS,3sg-poss
