ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Part_Of_Speech,Text_ID,Sentence_Number,Phrase_Number,Language_ID,Clitic_ID,begin-time-offset,cf_kit,end-time-offset,gls_en_phrase,gls_en_word,gls_kit_phrase,guid,hn_kit,lit_en_phrase,media-file,msa_en,pos_en_word,segnum_en_phrase,txt_kit_phrase,variantTypes_en
se-pn026-kurupelsuwede2017e-1,[ Introduction],introduction,,"Today is the 7th of November. It's Lauren Reed with Warama Kurupel. We're under Warama's house and he's going to tell us a funny story about his father, Llamda Kurupel. Eso",,se-pn026-kurupelsuwede2017e,1,,kit,,0,,23075,"Today is the 7th of November. It's Lauren Reed with Warama Kurupel. We're under Warama's house and he's going to tell us a funny story about his father, Llamda Kurupel. Eso",,,3c97e98d-7ba0-4c18-bc1a-e1c9fcde430e,,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,,,1,[Introduction],
se-pn026-kurupelsuwede2017e-2,Ttoen a ngasnges atta gänyan Llamda Kurupel bäne.,ttoen=a	ngas~nges=att==a=att=a	gänya=n	llamda	Kurupel=bäne,story=NOM	INFdo=ABL==NOM=ABL=NOM	here=COP.PRS.SG	old_man	male_personal_name=3SG.ABL.POSS,This story is about what Old Man Kurupel did.,common noun	nominal enclitic	transitive S verb	nominal enclitic	nominal enclitic	nominal enclitic	copulative verb	verbal enclitic	kinship noun	proper noun	pronominal enclitic,se-pn026-kurupelsuwede2017e,2,,kit,	a-nom									bane-3sg-abl-poss,23075,ttoen=da	RED~ngasnges	=att=da	gänya=n	llamda	Kurupel=bäne,29138,This story is about what Old Man Kurupel did.,story		do=abl=nom			cop.here.prs.sgS		old man	male personal name	,,8d63e4bc-5113-4c99-9f8c-188a8117c5a8,	1	3		1	1				2	,Old Man Kurupel's story that happened is here.,fc4caecd-a788-4da2-9cfd-68ac05b7de99,common noun	nominal enclitic	verb:Anytransitive S verb		nominal enclitic	nominal enclitic	adv. dem	verbal enclitic	common noun	proper noun	pronominal enclitic,common noun	nominal enclitic	transitive S verb	nominal enclitic	nominal enclitic	nominal enclitic	copulative verb	verbal enclitic	kinship noun	proper noun	pronominal enclitic,2,Ttoen a ngasnges atta gänyan Llamda Kurupel bäne.,		+***								
se-pn026-kurupelsuwede2017e-3,"Pazi da nineteen forty diba ngata me, ttongo lla da kuddäll gogon Malläm ttängäm me.",pazi=da	nineteen	forty	diba	ngata=me	ttongo	lla=da	kuddäll	g-o-g-on	Malläm	ttängäm=me,year=NOM	loanword	loanword	that	spot=LOC	a	man=NOM	die	REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A	toponym	village=LOC,"In 1940 in this place, one man died in Malam.",common noun	nominal enclitic	pro-form	pro-form	determiner	common noun	nominal enclitic	indefinite article	common noun	nominal enclitic	intransitive A verb	auxiliary verb	proper noun	common noun	nominal enclitic,se-pn026-kurupelsuwede2017e,3,,kit,	da-nom					me-loc			da-nom					me-loc,29138,pazi=da	English loanword	English loanword	diba	ngata=me	ttongo	lla=da	kuddäll	g-o-g-än	Malläm	ttängäm=me,37225,"In 1940 in this place, one man died in Malam.",year		loanword	loanword	that	spot		a	man		die	aux.rem.3sgS	place name	village	,,7e7149e0-3463-4e62-80ce-98527f6ae4ee,	1								1					,"Sometime around 1940, a man died in Malam village.",fc4caecd-a788-4da2-9cfd-68ac05b7de99,common noun	nominal enclitic	pro-form	pro-form	dem	common noun	nominal enclitic	indefinite article	common noun	nominal enclitic	verb	verb:TM + Patient-intransitive S verb:Any-verb-verb:TAM+Agent	proper noun	common noun	nominal enclitic,common noun	nominal enclitic	pro-form	pro-form	determiner	common noun	nominal enclitic	indefinite article	common noun	nominal enclitic	intransitive A verb	auxiliary verb	proper noun	common noun	nominal enclitic,3,"Pazi da nineteen forty diba ngata me, ttongo lla da kuddäll gogon Malläm ttängäm me.",
se-pn026-kurupelsuwede2017e-4,Obo bin a Galo.,obo	bin=a	Galo,3SG.POSS	name=NOM	male_personal_name,His name was Galo.,pronoun	common noun	nominal enclitic	proper noun,se-pn026-kurupelsuwede2017e,4,,kit,		a-nom	,37225,obo	bin=da	Galo,41575,His name was Galo.,3.sg.poss	name		male personal name,,f2028444-251d-4472-a2ed-4c0fd50242ab,		1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,pers. pronoun	common noun	nominal enclitic	proper noun,pronoun	common noun	nominal enclitic	proper noun,4,Obo bin a Galo.,
se-pn026-kurupelsuwede2017e-5-1,Galo obo baba deya Baewa.,Galo	obo	baba	da=eya	Baewa,male_personal_name	3SG.POSS	father	MED.DEM=COP.PST.SG	male_personal_name,,proper noun	pronoun	common noun	copulative verb	verbal enclitic	proper noun,se-pn026-kurupelsuwede2017e,5,1,kit,,,Galo	obo	baba	da=aeya	Baewa,,,male personal name	3.sg.poss	father	cop.pst.sgS		male personal name,,8d019356-c9d1-424e-bc36-3b80af03c49b,			3		,,,proper noun	pers. pronoun	kinship noun	nom. dem	verbal enclitic	proper noun,proper noun	pronoun	common noun	copulative verb	verbal enclitic	proper noun,5.1,Galo obo baba deya Baewa. ,				+fr. var. of	
se-pn026-kurupelsuwede2017e-5-2,Erme a Zakai.,Erme	a	Zakai,male_personal_name	and	male_personal_name,"Galo was Baewa, Erme, and Zakai's father.",proper noun	connective	proper noun,se-pn026-kurupelsuwede2017e,5,2,kit,,41575,Erme	a	Zakae,48713,"Galo was Baewa, Erme, and Zakai's father.",male personal name	and	male_personal_name,,2bccda7a-398b-4371-a35c-669bc3065d98,,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,proper noun	connective	proper noun,proper noun	connective	proper noun,5.2,Erme a Zakai.,		+sp. var. of
se-pn026-kurupelsuwede2017e-6,Yawenang lla deya.,Yawen=ang	lla	da=eya,female_personal_name=ATR	man	MED.DEM=COP.PST.SG,They were in the Yawenang [karag fish] clan.,mod	nominal enclitic	common noun	copulative verb	verbal enclitic,se-pn026-kurupelsuwede2017e,6,,kit,,48713,Yawen=ang	lla	da=aeya,52250,They were in the Yawenang [karag fish] clan.,Yawen=atr		man	cop.pst.sgS	,,e8b1fefb-3683-4cb2-b0eb-e90c951e4264,			3	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,proper noun	nominal enclitic	common noun	nom. dem	verbal enclitic,mod	nominal enclitic	common noun	copulative verb	verbal enclitic,6,Yawenang lla deya.,				+fr. var. of
se-pn026-kurupelsuwede2017e-7,Kuddäll gogon Malläm me.,kuddäll	g-o-g-on	Malläm=me,die	REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A	toponym=LOC,He died in Malam. ,intransitive A verb	auxiliary verb	proper noun	nominal enclitic,se-pn026-kurupelsuwede2017e,7,,kit,			me-loc,52250,kuddäll	g-o-g-än	Malläm=me,54563,He died in Malam. ,die	aux.rem.3sgS	place name	,,3de96e60-7931-4073-abea-90b42516c523,,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,verb	verb:TM + Patient-intransitive S verb:Any-verb-verb:TAM+Agent	proper noun	nominal enclitic,intransitive A verb	auxiliary verb	proper noun	nominal enclitic,7,Kuddäll gogon Malläm me. ,
se-pn026-kurupelsuwede2017e-8,Tämamae lla da Llimoll atta gobällnän ade do Malläm.,tämamae	lla=da	Limoll=att==a=att=a	g-o-bäll-n-än	ade	do	Malläm,all	person=NOM	toponym=ABL==NOM=ABL=NOM	REM.INTR-RT.EXT.INTR-go-DUR-REM|FUT.3SG`S|A	also	to	toponym,Everyone from Limol went to Malam.,quantifier	common noun	nominal enclitic	proper noun	nominal enclitic	nominal enclitic	nominal enclitic	intransitive S verb	adverb	prep	proper noun,se-pn026-kurupelsuwede2017e,8,,kit,		da-nom								,54563,tämamae	lla=da	Limoll	=att=da	g-o-ibi-ne-än	ade	do	Malläm,58925,Everyone from Limol went to Malam.,all	person		Limol=abl=nom			go.pl.rem.dur.3plS	also	to	place name,,85f0e579-dcfd-4910-b23d-867a9f63b7e6,		1	1		1	1	2		1	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,quantifier	common noun	nominal enclitic	proper noun		nominal enclitic	nominal enclitic	verb:TM + Patient-intransitive S verb:Any-verb-verb:(Aspect)-verb:TAM+Agent	adverb	prep	proper noun,quantifier	common noun	nominal enclitic	proper noun	nominal enclitic	nominal enclitic	nominal enclitic	intransitive S verb	adverb	prep	proper noun,8,Tämamae lla da Llimoll atta gobällnän ade do Malläm.,			+dial. var. of							
se-pn026-kurupelsuwede2017e-9,Alla ingollang ngaeka gognegnän ge kuddällag me ttoen a alla ingollang dan.,alla=ingoll=ang	ngaeka	g-o-g-neg-n-än	ge	kuddäll=ag=me	ttoen=a	alla=ingoll=ang	da=n,how=like=ATR	cry	REM.INTR-RT.EXT.INTR-AUX.NPRS-3PL`S-NPFV-REM|FUT.3SG`S|A	this	death=ATR=LOC	thing=NOM	how=like=ATR	MED.DEM=COP.PRS.SG,They were crying like how it is during the time of death.,adverb	nominal enclitic	nominal enclitic	verb	auxiliary verb	nom. dem	common noun	nominal enclitic	nominal enclitic	common noun	nominal enclitic	adverb	nominal enclitic	nominal enclitic	copulative verb	verbal enclitic,se-pn026-kurupelsuwede2017e,9,,kit,								me-loc		a-nom					,58925,alla=ingoll=ang	ngänaeka	g-o-g-neg-ne-än	ge	kuddäll=ang=me	ttoen=da	alla=ingoll=ang	da=n,63088,They were crying like how it is during the time of death.,how			cry	aux.rem.npfv.3plS	this	death=atr			thing		how			cop.prs.sgS	,,e54361c2-f006-4a64-ade9-7116b74feaf8,					1					1				3	,,fc4caecd-a788-4da2-9cfd-68ac05b7de99,adverb	nominal enclitic	nominal enclitic	verb	verb:TM + Patient-intransitive S verb:Any-verb-verb:Plurpersonal-verb:(Aspect)-verb:TAM+Agent	dem	common noun	nominal enclitic	nominal enclitic	common noun	nominal enclitic	adverb	nominal enclitic	nominal enclitic	nom. dem	verbal enclitic,adverb	nominal enclitic	nominal enclitic	verb	auxiliary verb	nom. dem	common noun	nominal enclitic	nominal enclitic	common noun	nominal enclitic	adverb	nominal enclitic	nominal enclitic	copulative verb	verbal enclitic,9,Alla ingollang ngaeka gognegnän ge kuddällag me ttoen a alla ingollang dan.,			+fast speech var. of												
