ID,Form,Meaning,Parameter_ID
5fddd06e-b4f1-447f-9204-ea825d139931,introduction,,
d277a2b5-d8cc-407f-9ca7-d25c7513209e,ttoen,story,
fa1a7ce6-7608-43bc-8889-8cc978490658,a,NOM,
caec8a38-7496-429d-8107-e3810b3e741b,ngas~nges,INFdo,
87be80fd-f335-4347-afa7-055cd479706f,att==a,ABL==NOM,
att-abl,=att,ABL,
a-nom,=a,NOM,
c72844c0-37b5-415f-88c8-4ad4aa4e95ea,gänya,here,
n-cop-prs-sg,=n,COP.PRS.SG,
94477476-ba06-4c09-8b73-703aa2db70db,llamda,old_man,
bc71c7ea-2d49-43e8-ae1b-c97634d6141e,Kurupel,male_personal_name,
ee0a315b-3467-43ba-b5b4-6ee2dd65dfd4,bäne,3SG.ABL.POSS,
a23fe320-02fa-435f-a64e-ddf3c0fbbf3e,pazi,year,
80290323-ab05-42e8-abae-1b909638aad8,da,NOM,
01bd9497-43d4-481e-a3b8-bac1cc3cc6d5,nineteen,loanword,
24578e4b-9378-4023-bb30-5ecc4f7c4c5d,forty,loanword,
01744412-fc75-4dc2-82a0-cb1720ee3a49,diba,that,
4b17546a-3177-4ab2-b031-2ef726d56c50,ngata,spot,
51fc298e-458b-4951-8d5e-4c5bb357f384,me,LOC,
0c355c58-79a6-42f1-8041-eb2ac4817959,ttongo,a,
bf2e5f0a-c963-4467-a2bc-3b76a101978c,lla,man,
90616d2c-4a35-439b-9760-ca1a4e9c9dc7,kuddäll,die,
2bc4866b-71ee-477e-a924-dbc5d4c61ca4,g-o-g-on,REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A,
547a8cba-e693-4b34-a59d-c543a08738d2,Malläm,toponym,
d2d3a4fe-a106-4269-bc18-c8af7a95d082,ttängäm,village,
72d73d0b-76b5-40a7-ad56-456d0a006567,obo,3SG.POSS,
f9267b96-0e61-4ec1-acae-ad89b83f89a5,bin,name,
6dfa8218-b7db-4c03-af5c-2737d9b0c414,Galo,male_personal_name,
f5eddd10-868c-48f9-ab47-ce579d3591f3,baba,father,
c079d495-ccb8-4112-bcfe-827eb0161cfb,da,MED.DEM,
eya-cop-pst-sg,=eya,COP.PST.SG,
b629666c-0109-4cb4-bb04-28df7308187a,Baewa,male_personal_name,
495a041d-f397-4eb8-80b8-3e196a46fbe4,Erme,male_personal_name,
34ad0558-0aa1-4f46-ac9f-67e8ccf0577b,a,and,
dcde3a5f-18c6-4e6b-9c1f-b6d3b343474b,Zakai,male_personal_name,
d0dddcbb-c140-4327-92d6-3ceab9ed2bc2,Yawen,female_personal_name,
ang-atr,=ang,ATR,
08892a56-bebf-4a5d-83de-e4f6fb6649e5,tämamae,all,
cacd8e88-4c09-4c2e-8c03-d76c95fba54d,lla,person,
a437ad9f-cc22-4a60-8d0e-bf990f334bf4,Limoll,toponym,
7ea67222-4c84-4a03-99a0-c796dc359f30,g-o-bäll-n-än,REM.INTR-RT.EXT.INTR-go-DUR-REM|FUT.3SG`S|A,
3511fb6d-5b30-454d-bd27-28fb0c0b63b8,ade,also,
fad4375c-5615-492e-b36c-3975cceaee9e,do,to,
c5bc1b0e-5a88-4dde-9532-86164eceaabe,alla,how,
ingoll-like,=ingoll,like,
12ccb6bd-6266-4957-a58a-467a0ac11cc7,ngaeka,cry,
ae6601e9-3085-471d-8e65-b6ba3efd39bd,g-o-g-neg-n-än,REM.INTR-RT.EXT.INTR-AUX.NPRS-3PL`S-NPFV-REM|FUT.3SG`S|A,
093051ab-572f-4865-a163-185a22d6490c,ge,this,
5dfdaf5a-fc2c-41a4-be12-b2c39ab8e0d1,kuddäll,death,
ag-atr,=ag,ATR,
